iter	RMSE
0	8.899047689
1	8.510993497
2	8.152540868
3	7.830654842
4	7.539283289
5	7.280641437
6	7.057303586
7	6.842007499
8	6.656675636
9	6.445409769
10	6.281166732
11	6.103788433
12	5.961428036
13	5.835432288
14	5.711970231
15	5.602505667
16	5.499137267
17	5.382701387
18	5.300055022
19	5.207504022
20	5.119204469
21	5.049494898
22	4.990390614
23	4.941609203
24	4.8946993
25	4.856932587
26	4.794898569
27	4.74705778
28	4.697404886
29	4.655104924
30	4.626478136
31	4.599174973
32	4.566973648
33	4.53813735
34	4.515726131
35	4.489608821
36	4.4620443
37	4.418823348
38	4.399235904
39	4.373606641
40	4.357446397
41	4.330490062
42	4.311479084
43	4.301451785
44	4.277915508
45	4.258962519
46	4.247306712
47	4.238753654
48	4.23214616
49	4.21803962
50	4.211015418
51	4.200162415
52	4.189052429
53	4.179531162
54	4.174983672
55	4.166001958
56	4.158054879
57	4.156493774
58	4.136843532
59	4.119806489
60	4.115177901
61	4.10423323
62	4.093995154
63	4.08326257
64	4.077242802
65	4.070492431
66	4.065290236
67	4.063904482
68	4.059005045
69	4.056737265
70	4.055699807
71	4.047160669
72	4.041773204
73	4.037293683
74	4.033652525
75	4.030716811
76	4.029594041
77	4.025591715
78	4.017816615
79	4.015821123
80	4.014401429
81	4.011125926
82	4.005644984
83	4.005071992
84	3.998366722
85	3.996709357
86	3.996385486
87	3.995703935
88	3.992149872
89	3.989271921
90	3.987829627
91	3.987021387
92	3.986627394
93	3.984383568
94	3.983143705
95	3.981849952
96	3.976395778
97	3.971345021
98	3.969424445
99	3.966500827
100	3.964927155
101	3.963932297
102	3.960739679
103	3.959646393
104	3.957969493
105	3.954651572
106	3.953770174
107	3.953032414
108	3.952674739
109	3.951713023
110	3.951349037
111	3.950705509
112	3.950073557
113	3.947378604
114	3.945020168
115	3.944397076
116	3.943842514
117	3.943106926
118	3.941254491
119	3.940775187
120	3.93942396
121	3.939077663
122	3.938731598
123	3.934787306
124	3.93354155
125	3.93025805
126	3.929808468
127	3.929210479
128	3.925400071
129	3.924966436
130	3.923473025
131	3.92281663
132	3.921973399
133	3.92145458
134	3.920034315
135	3.919133846
136	3.91799233
137	3.917061233
138	3.915351761
139	3.914791103
140	3.913787617
141	3.913071705
142	3.912458799
143	3.910694397
144	3.90877411
145	3.905917917
146	3.905404551
147	3.904852219
148	3.904152709
149	3.903588935
150	3.903056829
151	3.901469412
152	3.898830729
153	3.898044079
154	3.896927758
155	3.89586868
156	3.893940063
157	3.893224634
158	3.892060131
159	3.891209713
160	3.890590944
161	3.890179504
162	3.889298294
163	3.888336031
164	3.887770175
165	3.886167867
166	3.885478161
167	3.885115101
168	3.884620994
169	3.884042996
170	3.883721825
171	3.883281019
172	3.882648627
173	3.880686021
174	3.880043979
175	3.879378077
176	3.878931215
177	3.878086594
178	3.877387942
179	3.876720603
180	3.875976884
181	3.875193645
182	3.874321996
183	3.872728696
184	3.87226391
185	3.871627799
186	3.871194203
187	3.87059823
188	3.869935857
189	3.869413519
190	3.868889724
191	3.867245595
192	3.866368905
193	3.865677148
194	3.864859289
195	3.864211913
196	3.863728039
197	3.862533447
198	3.861809687
199	3.861346637
200	3.860694596
201	3.859151194
202	3.858567519
203	3.857997633
204	3.8575008
205	3.85693184
206	3.856336521
207	3.854798744
208	3.854325245
209	3.853697254
210	3.853146609
211	3.852613329
212	3.852058728
213	3.851290473
214	3.849970858
215	3.849290621
216	3.848688467
217	3.84725504
218	3.846622435
219	3.845970225
220	3.845148296
221	3.84442869
222	3.843893071
223	3.843221265
224	3.842715861
225	3.84188688
226	3.841529682
227	3.840936216
228	3.840096569
229	3.839706895
230	3.839050899
231	3.838495501
232	3.837858184
233	3.837465891
234	3.836785849
235	3.836305333
236	3.835799333
237	3.83528352
238	3.834689335
239	3.834178487
240	3.833600938
241	3.833110585
242	3.832387587
243	3.831877374
244	3.83134797
245	3.830874743
246	3.829837045
247	3.828565734
248	3.828135624
249	3.827600124
250	3.827063891
251	3.825995414
252	3.825270534
253	3.824822604
254	3.824319683
255	3.82364402
256	3.822717923
257	3.822083186
258	3.821371471
259	3.820636409
260	3.81971003
261	3.818447104
262	3.817956757
263	3.817382321
264	3.816883664
265	3.816339394
266	3.814611197
267	3.813854902
268	3.813316954
269	3.812749785
270	3.811815002
271	3.811321461
272	3.810947826
273	3.81039937
274	3.809771754
275	3.809250215
276	3.808563612
277	3.807808444
278	3.807006681
279	3.806387686
280	3.805492303
281	3.805016278
282	3.80424473
283	3.803630961
284	3.80299691
285	3.802375212
286	3.802048228
287	3.801433785
288	3.801114019
289	3.800599742
290	3.799645151
291	3.799057212
292	3.798436068
293	3.797929383
294	3.797361577
295	3.796051861
296	3.795687208
297	3.795216246
298	3.7947305
299	3.79419284
300	3.793733975
301	3.793227081
302	3.792965312
303	3.792456404
304	3.79180711
305	3.791290354
306	3.790426079
307	3.789843503
308	3.789341605
309	3.788943683
310	3.788429928
311	3.787968047
312	3.787691442
313	3.787127779
314	3.786429006
315	3.782767659
316	3.782037697
317	3.781532883
318	3.78117855
319	3.780424293
320	3.779976047
321	3.779193762
322	3.77864887
323	3.778231707
324	3.777772427
325	3.777266983
326	3.776727848
327	3.776259657
328	3.775919641
329	3.775094875
330	3.774557708
331	3.774224518
332	3.77362937
333	3.773143291
334	3.772796703
335	3.772467061
336	3.771939217
337	3.770098258
338	3.769538541
339	3.76899634
340	3.767943216
341	3.767444773
342	3.7667146
343	3.766191286
344	3.765531175
345	3.765110072
346	3.764627897
347	3.764189909
348	3.763812318
349	3.763363104
350	3.762872111
351	3.762479221
352	3.761901755
353	3.761305531
354	3.761008297
355	3.760500239
356	3.760036787
357	3.759812705
358	3.759339649
359	3.758860012
360	3.758396813
361	3.757736464
362	3.757268109
363	3.756685009
364	3.756198386
365	3.75576545
366	3.755240205
367	3.754882397
368	3.754163968
369	3.753885059
370	3.753508409
371	3.75298559
372	3.752643627
373	3.752210144
374	3.751866832
375	3.751423904
376	3.75084992
377	3.750363183
378	3.749866037
379	3.749426984
380	3.748988179
381	3.74838093
382	3.747977562
383	3.747224892
384	3.74666624
385	3.746274118
386	3.745658088
387	3.745326206
388	3.745017856
389	3.74470616
390	3.744228596
391	3.74379303
392	3.743241465
393	3.742949343
394	3.742499471
395	3.741920976
396	3.741454865
397	3.741025964
398	3.740064637
399	3.73985749
400	3.739682102
401	3.739197638
402	3.738895646
403	3.738196608
404	3.737964423
405	3.737513885
406	3.737054846
407	3.736474138
408	3.736118951
409	3.734548279
410	3.732950605
411	3.732449976
412	3.732206789
413	3.731709488
414	3.73123058
415	3.73070595
416	3.730104041
417	3.729643145
418	3.729223765
419	3.728786395
420	3.728373884
421	3.727824257
422	3.72732114
423	3.726953879
424	3.726561549
425	3.726042067
426	3.725306361
427	3.724908081
428	3.724156608
429	3.723542228
430	3.722816561
431	3.722253953
432	3.722078613
433	3.721631206
434	3.721330441
435	3.720895462
436	3.720664683
437	3.720389337
438	3.720034857
439	3.719543494
440	3.719275545
441	3.71866088
442	3.718217143
443	3.717859375
444	3.717473194
445	3.717091908
446	3.716525911
447	3.715678813
448	3.715394559
449	3.714974464
450	3.714527827
451	3.714111534
452	3.71366731
453	3.713387087
454	3.713001499
455	3.712620506
456	3.712250269
457	3.711994037
458	3.711509433
459	3.711142107
460	3.710655196
461	3.708746672
462	3.708407573
463	3.708127801
464	3.707820667
465	3.707571875
466	3.70699869
467	3.706677658
468	3.706332979
469	3.705705043
470	3.705361528
471	3.70488291
472	3.704522628
473	3.704075437
474	3.703673525
475	3.703084641
476	3.7026759
477	3.702118426
478	3.701692062
479	3.701417981
480	3.70105477
481	3.700654261
482	3.700344272
483	3.699938412
484	3.699633847
485	3.699128343
486	3.697612779
487	3.697065987
488	3.696593433
489	3.696084893
490	3.69578136
491	3.695412154
492	3.695058394
493	3.694472836
494	3.694014665
495	3.693364584
496	3.69252268
497	3.692332057
498	3.691842983
499	3.691415851
500	3.690441542
501	3.690001501
502	3.689563307
503	3.688988185
504	3.688674948
505	3.688365254
506	3.687859557
507	3.687493667
508	3.686963354
509	3.686617163
510	3.686274545
511	3.685670829
512	3.685226169
513	3.685017942
514	3.684633595
515	3.684155146
516	3.683589582
517	3.683211281
518	3.682761083
519	3.682310466
520	3.681635077
521	3.681134878
522	3.680834637
523	3.680462307
524	3.679971638
525	3.679571428
526	3.679119175
527	3.678718001
528	3.678260443
529	3.677896519
530	3.677615888
531	3.677266905
532	3.676945565
533	3.676606003
534	3.676000307
535	3.67571888
536	3.675448598
537	3.674926493
538	3.674538271
539	3.674182715
540	3.673782347
541	3.673522948
542	3.67307609
543	3.67271451
544	3.6725089
545	3.672059822
546	3.671861939
547	3.671448486
548	3.671005941
549	3.670737253
550	3.670279181
551	3.66987714
552	3.669610228
553	3.668842555
554	3.668515487
555	3.668059743
556	3.667720111
557	3.667211422
558	3.666753643
559	3.666266836
560	3.666106117
561	3.665501797
562	3.664976475
563	3.663818283
564	3.66358856
565	3.663269598
566	3.662764092
567	3.662344397
568	3.661995336
569	3.661691295
570	3.661352084
571	3.659900892
572	3.659727714
573	3.659387834
574	3.658854424
575	3.658515111
576	3.658011046
577	3.656924019
578	3.656576596
579	3.656039983
580	3.65573977
581	3.655245851
582	3.654809031
583	3.654256078
584	3.653933873
585	3.653638326
586	3.652834878
587	3.652347426
588	3.651783777
589	3.651475882
590	3.65100185
591	3.650723854
592	3.650415499
593	3.649997158
594	3.649686004
595	3.649070616
596	3.648705746
597	3.647977822
598	3.647479071
