iter	Passed	Remaining
0	175	175463
1	192	96102
2	203	67477
3	213	53213
4	218	43458
5	223	37032
6	229	32512
7	234	29121
8	240	26485
9	245	24257
10	249	22424
11	253	20912
12	260	19799
13	265	18679
14	269	17725
15	275	16946
16	281	16275
17	286	15640
18	291	15039
19	295	14494
20	300	14003
21	305	13566
22	309	13156
23	314	12786
24	320	12483
25	325	12181
26	331	11935
27	336	11695
28	341	11436
29	346	11192
30	351	10993
31	357	10819
32	362	10613
33	369	10487
34	378	10439
35	386	10350
36	391	10182
37	397	10060
38	402	9916
39	407	9770
40	412	9645
41	417	9533
42	424	9443
43	430	9344
44	434	9223
45	440	9134
46	445	9028
47	450	8942
48	456	8859
49	461	8761
50	467	8698
51	472	8612
52	476	8521
53	481	8430
54	485	8347
55	490	8269
56	495	8190
57	500	8125
58	505	8056
59	509	7986
60	516	7953
61	522	7897
62	526	7833
63	532	7789
64	540	7776
65	546	7740
66	554	7722
67	562	7709
68	568	7672
69	573	7612
70	579	7579
71	583	7523
72	588	7471
73	593	7426
74	598	7376
75	602	7323
76	608	7294
77	613	7257
78	618	7209
79	624	7177
80	630	7148
81	635	7115
82	641	7084
83	646	7045
84	652	7018
85	657	6992
86	663	6962
87	668	6923
88	672	6888
89	677	6848
90	681	6808
91	686	6772
92	690	6738
93	696	6710
94	701	6683
95	708	6669
96	714	6651
97	720	6635
98	730	6644
99	736	6632
100	741	6603
101	747	6582
102	755	6577
103	761	6557
104	766	6536
105	772	6512
106	776	6481
107	781	6451
108	785	6419
109	789	6390
110	794	6359
111	799	6338
112	805	6321
113	809	6291
114	815	6272
115	819	6247
116	825	6229
117	831	6217
118	837	6198
119	842	6179
120	848	6162
121	852	6135
122	856	6109
123	863	6101
124	868	6076
125	873	6059
126	881	6062
127	890	6069
128	903	6102
129	915	6129
130	931	6176
131	945	6218
132	952	6209
133	960	6204
134	966	6194
135	973	6183
136	982	6187
137	989	6182
138	996	6174
139	1002	6156
140	1008	6142
141	1013	6125
142	1019	6107
143	1024	6092
144	1030	6075
145	1037	6067
146	1045	6068
147	1054	6072
148	1060	6058
149	1065	6035
150	1070	6016
151	1074	5994
152	1078	5972
153	1083	5954
154	1089	5940
155	1094	5919
156	1100	5908
157	1106	5897
158	1113	5887
159	1121	5886
160	1125	5867
161	1130	5846
162	1134	5826
163	1139	5806
164	1143	5786
165	1148	5770
166	1152	5749
167	1156	5728
168	1161	5712
169	1167	5697
170	1171	5677
171	1175	5658
172	1181	5646
173	1185	5627
174	1190	5610
175	1194	5593
176	1198	5574
177	1203	5559
178	1210	5550
179	1215	5536
180	1220	5521
181	1224	5503
182	1230	5491
183	1234	5475
184	1239	5459
185	1245	5449
186	1249	5431
187	1253	5415
188	1258	5400
189	1264	5390
190	1269	5377
191	1275	5368
192	1281	5359
193	1286	5344
194	1292	5336
195	1296	5320
196	1301	5304
197	1306	5292
198	1311	5277
199	1315	5261
200	1319	5246
201	1324	5233
202	1329	5218
203	1333	5203
204	1338	5189
205	1342	5174
206	1347	5160
207	1352	5148
208	1357	5136
209	1361	5121
210	1365	5107
211	1371	5098
212	1375	5083
213	1379	5068
214	1385	5057
215	1389	5042
216	1394	5030
217	1400	5024
218	1406	5015
219	1411	5004
220	1418	4999
221	1424	4991
222	1429	4981
223	1436	4977
224	1446	4981
225	1453	4979
226	1460	4972
227	1466	4964
228	1471	4954
229	1477	4945
230	1482	4935
231	1487	4923
232	1491	4910
233	1497	4901
234	1501	4888
235	1506	4875
236	1511	4866
237	1517	4857
238	1521	4844
239	1526	4834
240	1532	4827
241	1538	4818
242	1547	4822
243	1552	4810
244	1559	4804
245	1565	4799
246	1573	4795
247	1580	4793
248	1586	4784
249	1595	4785
250	1599	4773
251	1606	4769
252	1611	4759
253	1616	4748
254	1623	4743
255	1629	4736
256	1639	4738
257	1644	4728
258	1649	4719
259	1656	4714
260	1661	4704
261	1666	4693
262	1673	4688
263	1678	4678
264	1682	4666
265	1688	4658
266	1694	4653
267	1700	4643
268	1705	4634
269	1710	4623
270	1714	4612
271	1721	4606
272	1725	4595
273	1730	4585
274	1737	4580
275	1742	4570
276	1746	4558
277	1753	4553
278	1760	4549
279	1766	4541
280	1771	4532
281	1776	4522
282	1781	4514
283	1786	4504
284	1792	4496
285	1802	4500
286	1807	4489
287	1813	4482
288	1820	4478
289	1830	4482
290	1838	4478
291	1843	4470
292	1849	4462
293	1853	4451
294	1858	4442
295	1865	4437
296	1870	4428
297	1878	4426
298	1884	4418
299	1890	4410
300	1896	4404
301	1901	4393
302	1905	4382
303	1911	4375
304	1919	4373
305	1925	4367
306	1931	4360
307	1936	4350
308	1942	4343
309	1946	4332
310	1951	4322
311	1955	4313
312	1960	4303
313	1966	4295
314	1972	4289
315	1978	4283
316	1984	4275
317	1992	4273
318	1998	4267
319	2004	4260
320	2010	4252
321	2016	4246
322	2021	4237
323	2027	4230
324	2032	4221
325	2037	4213
326	2043	4205
327	2047	4195
328	2052	4186
329	2057	4176
330	2061	4166
331	2066	4158
332	2072	4151
333	2077	4141
334	2082	4133
335	2088	4127
336	2093	4118
337	2099	4111
338	2103	4101
339	2108	4093
340	2114	4086
341	2119	4078
342	2125	4071
343	2131	4064
344	2137	4057
345	2141	4047
346	2147	4040
347	2151	4031
348	2157	4024
349	2164	4019
350	2171	4014
351	2178	4011
352	2184	4003
353	2189	3996
354	2195	3988
355	2199	3978
356	2204	3971
357	2212	3966
358	2216	3958
359	2222	3951
360	2230	3948
361	2237	3943
362	2244	3938
363	2249	3931
364	2254	3922
365	2261	3917
366	2268	3912
367	2279	3915
368	2291	3917
369	2298	3913
370	2308	3914
371	2318	3914
372	2327	3911
373	2336	3911
374	2342	3904
375	2349	3899
376	2359	3899
377	2369	3898
378	2378	3896
379	2387	3895
380	2394	3889
381	2403	3889
382	2410	3882
383	2419	3881
384	2429	3880
385	2435	3874
386	2445	3873
387	2453	3870
388	2462	3868
389	2473	3868
390	2483	3867
391	2492	3865
392	2503	3866
393	2522	3879
394	2530	3876
395	2539	3873
396	2549	3872
397	2561	3875
398	2571	3873
399	2577	3866
400	2587	3864
401	2597	3864
402	2608	3864
403	2615	3858
404	2619	3848
405	2626	3842
406	2633	3836
407	2642	3834
408	2651	3832
409	2659	3827
410	2665	3819
411	2673	3814
412	2681	3810
413	2690	3808
414	2706	3815
415	2716	3813
416	2723	3807
417	2730	3802
418	2735	3793
419	2741	3786
420	2748	3780
421	2754	3772
422	2759	3764
423	2765	3756
424	2770	3747
425	2774	3738
426	2779	3729
427	2783	3720
428	2788	3711
429	2793	3703
430	2797	3693
431	2802	3685
432	2807	3676
433	2812	3667
434	2816	3658
435	2820	3649
436	2827	3642
437	2832	3634
438	2841	3630
439	2846	3623
440	2851	3614
441	2857	3607
442	2865	3603
443	2874	3599
444	2879	3591
445	2885	3584
446	2912	3603
447	2922	3601
448	2929	3595
449	2937	3590
450	2944	3584
451	2950	3577
452	2959	3573
453	2964	3565
454	2972	3560
455	2979	3554
456	2986	3548
457	2991	3539
458	2995	3530
459	3001	3523
460	3008	3518
461	3016	3512
462	3021	3504
463	3025	3495
464	3030	3486
465	3037	3480
466	3042	3472
467	3047	3463
468	3052	3455
469	3056	3446
470	3064	3441
